Recording ID,Database,Subspecies_Friis,Latitude,Longitude,Date,Month,Year,Time
155216141,ML,hyemalis,39.8349,-74.9939,4/17/19,4,2019,940
155289271,ML,hyemalis,45.6298,-72.9223,5/1/19,5,2019,918
155354491,ML,hyemalis,57.1322,-135.367,5/1/19,5,2019,957
155508681,ML,oreganus,36.0615,-121.592,3/21/19,3,2019,1715
155839911,ML,hyemalis,35.1472,-79.369,5/4/19,5,2019,809
155898321,ML,hyemalis,45.5043,-77.5763,5/4/19,5,2019,535
155932351,ML,hyemalis,45.5043,-77.5763,5/4/19,5,2019,535
156856651,ML,oreganus,38.3597,-122.515,5/1/19,5,2019,909
156856701,ML,oreganus,38.3597,-122.515,5/1/19,5,2019,909
156885211,ML,hyemalis,42.4259,-76.3358,5/7/19,5,2019,0
157478371,ML,oreganus,36.3883,-121.55,5/17/01,5,2001,1445
157562281,ML,hyemalis,42.4259,-76.3358,5/7/19,5,2019,0
157882521,ML,oreganus,37.8758,-122.253,5/9/19,5,2019,750
158213871,ML,hyemalis,44.1315,-79.4578,4/24/19,4,2019,1218
158220021,ML,hyemalis,44.1328,-79.4551,4/26/19,4,2019,912
158394741,ML,oreganus,45.5114597,-122.59403,4/27/19,4,2019,709
159041321,ML,oreganus,37.8758,-122.253,5/15/19,5,2019,1210
159226171,ML,hyemalis,53.5261,-113.478,4/11/19,4,2019,1020
160070001,ML,hyemalis,38.5833,-79.6391,5/20/19,5,2019,1144
160070141,ML,hyemalis,38.5833,-79.6391,5/20/19,5,2019,1144
160126691,ML,hyemalis,43.812,-73.4951,5/9/19,5,2019,716
160492301,ML,hyemalis,42.2493,-71.3361,5/23/19,5,2019,612
160492531,ML,hyemalis,42.4259,-76.3358,5/7/19,5,2019,0
161154371,ML,oreganus,49.2648,-123.253,5/25/19,5,2019,1330
161817101,ML,hyemalis,53.5257,-113.498,5/26/19,5,2019,940
161837161,ML,oreganus,37.8654,-122.256,5/29/19,5,2019,722
161852341,ML,hyemalis,43.868,-72.8296,5/27/19,5,2019,645
161995331,ML,hyemalis,43.8746,-72.8344,5/25/19,5,2019,537
162298911,ML,hyemalis,42.4259,-76.3358,5/7/19,5,2019,0
162422671,ML,oreganus,39.698,-120.45,6/2/19,6,2019,908
162444911,ML,oreganus,54.3946,-122.371,6/2/19,6,2019,1145
162681641,ML,hyemalis,40.9146933,-73.121569,4/11/19,4,2019,1651
163016131,ML,oreganus,36.9747,-121.9555,6/6/19,6,2019,1734
163089331,ML,hyemalis,41.6135,-81.3085,6/6/19,6,2019,937
163353471,ML,oreganus,32.7143,-117.246,6/7/19,6,2019,1335
163471401,ML,caniceps,35.1630756,-106.36948,6/9/19,6,2019,944
163588441,ML,hyemalis,44.235196,-73.709193,6/8/19,6,2019,443
163686001,ML,oreganus,38.3591,-123.009,4/22/19,4,2019,700
163774851,ML,hyemalis,42.3378802,-76.351107,6/11/19,6,2019,551
