FileName,ID_Num,avg_silence_duration(ms),avg_syllable_duration(ms),avg_sylls_freq_range(Hz),avg_sylls_lower_freq(Hz),avg_sylls_upper_freq(Hz),bout_duration(ms),largest_silence_duration(ms),largest_syllable_duration(ms),largest_sylls_freq_range(Hz),max_sylls_freq(Hz),mean_syllable_stereotypy,min_sylls_freq(Hz),num_syllable_per_bout_duration(1/ms),num_syllables,num_syllables_per_num_unique,num_unique_syllables,overall_sylls_freq_range(Hz),sequential_repetition,smallest_silence_duration(ms),smallest_syllable_duration(ms),smallest_sylls_freq_range(Hz),stdev_silence_duration(ms),stdev_syllable_duration(ms),stdev_syllable_stereotypy,stdev_sylls_freq_range(Hz),syll_correlation_threshold,syllable_pattern,syllable_stereotypy,subspecies,latitude,longitude
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323604091-bout-3.gzip,323648741,17.125,62.84444444,1752.826511,4319.688109,6025.730994,1182.416667,39.95833333,77,1918.128655,6081.871345,52.6284387,4116.959064,0.012685883,15,15,1,2011.695906,1,4.958333333,25.375,654.9707602,9.95251815,13.50508306,,320.1794758,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[52.6284387],dorsalis,34.779232,-111.51881
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323648741-bout-1.gzip,323648741,58.91666667,126.875,3201.336675,2733.500418,5888.053467,1241.625,75.25,135.625,3602.339181,6081.871345,66.49844079,2526.315789,0.005637773,7,3.5,2,3602.339181,0.833333333,49.875,121.3333333,2947.368421,11.36227921,4.750974559,,208.9735116,53.5,"[0, 0, 0, 0, 0, 0, 6]",[66.49844079],dorsalis,34.779232,-111.51881
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323648741-bout-2.gzip,323648741,58.975,127.1180556,3056.530214,2752.436647,5762.183236,1057.583333,63,132.4166667,3274.853801,5847.953216,69.25338297,2526.315789,0.005673312,6,6,1,3368.421053,1,53.375,121.9166667,2853.80117,3.866096402,3.89750781,,190.9933523,53.5,"[0, 0, 0, 0, 0, 0]",[69.25338297],dorsalis,34.779232,-111.51881
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323648741-bout-3.gzip,323659351,54.89166667,124.6875,3126.705653,2666.666667,5746.588694,1022.583333,62.41666667,137.375,3415.204678,5801.169591,69.98048595,2385.964912,0.005867492,6,6,1,3461.988304,1,46.95833333,112,2994.152047,5.531679597,9.139457725,,154.9284579,53.5,"[0, 0, 0, 0, 0, 0]",[69.98048595],oreganus,47.0953996,-123.09097
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323659351-bout-1.gzip,323659351,23.01587302,53.94957983,2960.732714,2884.881321,5802.631579,1285.396825,27.3015873,57.77777778,3266.666667,6017.54386,69.84525049,2707.894737,0.013225488,17,8.5,2,3352.631579,0.9375,21.58730159,49.84126984,2364.035088,1.470861406,2.040379068,,277.2628107,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[69.84525049],oreganus,47.0953996,-123.09097
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323659351-bout-2.gzip,323659351,24.44444444,52.36111111,2823.410088,2863.70614,5644.133772,1204.444444,26.34920635,58.73015873,3180.701754,5931.578947,68.72446601,2750.877193,0.013284133,16,8,2,3223.684211,0.933333333,21.26984127,41.26984127,2407.017544,1.489020876,3.970951464,,252.9369335,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[68.72446601],oreganus,47.0953996,-123.09097
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323659351-bout-3.gzip,323757281,17.84126984,58.29365079,2683.717105,2807.291667,5448.026316,1200.31746,24.44444444,63.17460317,3094.736842,5802.631579,67.50429667,2750.877193,0.013329807,16,8,2,3094.736842,0.933333333,13.65079365,50.47619048,2278.070175,2.596307518,3.264082873,,237.4918462,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[67.50429667],oreganus,34.562889,-119.9503
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323757281-bout-1.gzip,323757281,33.93055556,158.2083333,3234.753551,3161.236424,6349.206349,1311.041667,42,162.4583333,3508.77193,6549.707602,56.58941661,3087.719298,0.005339266,7,7,1,3508.77193,1,25.375,155.1666667,2994.152047,7.069332568,3.053724199,,195.5767664,53.5,"[0, 0, 0, 0, 0, 0, 0]",[56.58941661],oreganus,34.562889,-119.9503
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323757281-bout-2.gzip,323757281,26.39583333,164.125,3421.888053,3154.553049,6529.657477,1307.25,33.25,176.75,3742.690058,6783.625731,56.21969774,2994.152047,0.005354752,7,7,1,3836.25731,1,18.66666667,145.25,3087.719298,5.962425751,11.57971066,,253.9975653,53.5,"[0, 0, 0, 0, 0, 0, 0]",[56.21969774],oreganus,34.562889,-119.9503
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323757281-bout-3.gzip,323912721,27.125,163.1388889,3423.001949,3165.692008,6541.910331,1114.458333,33.25,178.7916667,3555.555556,6643.274854,64.27989863,2994.152047,0.005383781,6,3,2,3695.906433,0.8,10.5,137.6666667,3040.935673,9.65147873,13.69984962,,194.9629605,53.5,"[0, 1, 1, 1, 1, 1]",[64.27989863],hyemalis,35.1574362,-82.769829
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323912721-bout-1.gzip,323912721,26.075,76.10677083,3093.567251,3596.491228,6643.274854,1608.833333,33.83333333,86.33333333,3555.555556,6830.409357,64.90212945,3321.637427,0.009945095,16,8,2,3555.555556,0.933333333,17.20833333,62.70833333,2853.80117,4.817610922,5.43520266,,206.3258673,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[64.90212945],hyemalis,35.1574362,-82.769829
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323912721-bout-2.gzip,323912721,30.19722222,71.82291667,3230.994152,3520.467836,6704.678363,1602.125,34.70833333,83.125,3742.690058,7064.327485,57.20163808,3321.637427,0.009986736,16,5.333333333,3,3789.473684,0.8,17.5,60.375,1871.345029,3.988278544,4.837916888,,460.755381,53.5,"[0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[57.20163808],hyemalis,35.1574362,-82.769829
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_323912721-bout-3.gzip,324137961,28.19444444,74.99479167,3114.035088,3473.684211,6540.935673,1622.833333,36.75,93.33333333,3836.25731,7064.327485,55.45793129,3274.853801,0.0098593,16,5.333333333,3,3836.25731,0.8,14.58333333,63.875,2152.046784,5.413727835,7.673937902,,536.135384,53.5,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1]",[55.45793129],hyemalis,43.5392072,-80.215765
/Users/sarahhourihan/Box/Sarah_Nicole/Junco gzips for paper pt3/SegSyllsOutput_324137961-bout-1.gzip,324137961,23.12333333,35.80769231,2520.917679,3470.985155,5945.119208,1509.083333,29.16666667,38.20833333,2994.152047,6081.871345,80.92936951,3087.719298,0.017229002,26,26,1,3040.935673,1,17.20833333,33.83333333,1684.210526,2.063288289,1.338639282,,406.8458436,53.5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[80.92936951],hyemalis,43.5392072,-80.215765
